TractFIPS,race_pc_white,race_pc_black,race_pc_asian,race_pc_hispanic,pov_total,snaphh_total,medicaid_pc_covered,pop_total,medhhinc_all,housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35
13121010211,92.1,5.1,2.3,3.0,100.0,1119.0,2.5,2864.0,142750.0,1224.0,8.6,77.2,22.8,856800.0,1645.0,5.5,27.1
13121007602,2.4,95.6,0.0,2.9,914.0,1026.0,37.2,2570.0,32500.0,1191.0,13.9,48.1,51.9,89800.0,936.0,2.7,61.5
13121001700,63.4,32.6,2.3,4.9,335.0,2645.0,8.2,4911.0,94750.0,2918.0,9.4,22.6,77.4,590100.0,1687.0,10.9,22.5
13121007802,0.5,97.1,0.0,1.0,2568.0,3759.0,31.5,10961.0,51388.0,4130.0,9.0,56.6,43.4,186600.0,983.0,12.7,40.6
13121007805,4.2,94.6,1.1,1.6,493.0,1317.0,35.8,3397.0,31174.0,1491.0,11.7,27.0,73.0,108700.0,850.0,4.7,48.8
13121009700,84.1,9.8,5.0,3.0,92.0,1422.0,1.9,3846.0,208750.0,1652.0,13.9,89.7,10.3,859900.0,2083.0,39.6,9.9
13089020200,76.7,7.7,10.0,0.9,200.0,983.0,4.9,1881.0,84867.0,1135.0,13.4,58.1,41.9,535300.0,1265.0,0.0,19.3
13089020400,85.0,2.5,6.2,1.4,183.0,1245.0,2.4,2701.0,106103.0,1342.0,7.2,67.6,32.4,484300.0,1134.0,5.0,26.7
13089020801,64.5,23.6,0.5,0.7,141.0,1046.0,8.1,2509.0,94662.0,1175.0,11.0,79.4,20.6,400700.0,1500.0,3.6,30.2
13121005200,77.5,17.6,2.4,6.2,718.0,2108.0,6.4,5170.0,111759.0,2287.0,7.8,69.6,30.4,309800.0,1515.0,6.1,35.6
13121006400,37.0,59.5,0.0,15.2,279.0,384.0,19.7,936.0,30395.0,469.0,18.1,31.0,69.0,326500.0,771.0,15.6,50.2
13121007200,4.0,94.6,0.0,0.4,765.0,690.0,36.5,2136.0,27083.0,1025.0,32.7,38.4,61.6,97900.0,951.0,4.2,63.0
13121000400,86.5,8.2,4.3,3.4,71.0,1019.0,2.4,2047.0,97257.0,1222.0,16.6,65.1,34.9,489300.0,1773.0,19.7,14.7
13121000100,90.0,2.4,2.4,4.9,101.0,2084.0,2.1,5410.0,168396.0,2140.0,2.6,75.4,24.6,736400.0,1825.0,0.0,11.9
13121000600,49.3,19.8,26.6,5.9,2878.0,2994.0,1.5,7952.0,53686.0,3471.0,13.7,19.7,80.3,205000.0,1621.0,4.8,50.0
13121003500,35.8,57.5,3.2,2.3,932.0,714.0,13.5,2074.0,53889.0,821.0,13.0,34.5,65.5,190300.0,1381.0,8.2,42.3
13121004100,12.9,80.9,3.7,2.3,544.0,741.0,27.7,2214.0,54208.0,1190.0,37.7,55.6,44.4,256100.0,1177.0,11.9,50.3
13121005000,57.7,35.7,2.7,2.7,141.0,1414.0,5.4,2586.0,75570.0,1599.0,11.6,41.7,58.3,363600.0,1463.0,8.1,29.0
13121005502,7.7,92.3,0.0,0.0,1171.0,1235.0,35.6,2846.0,21804.0,1457.0,15.2,21.1,78.9,150000.0,765.0,9.6,54.1
13121006100,3.8,94.5,0.0,3.1,1118.0,1345.0,36.1,3908.0,29323.0,1695.0,20.6,47.9,52.1,77700.0,1025.0,8.6,52.0
13121006300,8.5,85.1,0.7,2.0,559.0,703.0,32.9,1492.0,31483.0,1154.0,39.1,29.0,71.0,140000.0,837.0,4.9,52.8
13121007500,11.3,85.8,1.0,3.1,1130.0,1548.0,34.0,3348.0,26205.0,2027.0,23.6,33.6,66.4,75200.0,833.0,13.9,58.3
13121007807,2.3,94.4,0.0,1.9,1700.0,1049.0,62.1,3404.0,24398.0,1477.0,29.0,35.6,64.4,69800.0,884.0,8.2,53.7
13121007808,0.0,94.8,0.0,5.2,3513.0,1431.0,63.9,4580.0,12485.0,1970.0,27.4,11.0,89.0,80600.0,666.0,6.1,66.8
13121008102,2.8,94.5,1.0,4.6,1345.0,2842.0,37.7,6647.0,27119.0,3390.0,16.2,23.5,76.5,122900.0,786.0,8.5,48.8
13121002100,33.5,56.4,8.1,5.0,979.0,885.0,19.9,2409.0,68618.0,1156.0,23.4,42.7,57.3,245500.0,1091.0,5.8,35.4
13121007900,3.9,95.6,0.0,0.9,363.0,2364.0,14.1,5210.0,61125.0,2548.0,7.2,71.2,28.8,172400.0,1352.0,2.3,51.1
13121003900,1.1,96.9,0.0,2.1,645.0,756.0,26.8,2090.0,33000.0,1023.0,26.1,31.9,68.1,89300.0,964.0,16.8,46.0
13121008500,4.7,92.6,0.0,0.0,659.0,981.0,40.2,2551.0,24890.0,1581.0,38.0,38.6,61.4,57800.0,1029.0,2.8,65.6
13121008902,60.3,34.0,4.4,5.5,1190.0,4392.0,1.6,8007.0,72432.0,5011.0,12.4,32.7,67.3,282400.0,1353.0,16.3,24.6
13121009900,96.3,0.4,1.2,2.0,204.0,2130.0,1.1,5213.0,152500.0,2327.0,8.5,70.8,29.2,875000.0,1385.0,10.5,18.0
13121000200,89.6,2.4,2.8,5.8,335.0,2696.0,1.6,6175.0,158011.0,2806.0,3.9,72.0,28.0,661600.0,1685.0,1.1,11.2
13121001900,41.9,33.5,18.5,5.4,627.0,1400.0,5.0,5064.0,62656.0,1931.0,27.5,38.6,61.4,301800.0,1280.0,4.1,32.9
13121002900,50.0,39.2,6.4,3.6,353.0,1248.0,12.0,2425.0,71210.0,1569.0,20.5,33.8,66.2,346200.0,1459.0,13.0,37.5
13121003000,80.1,9.4,5.0,3.2,161.0,1837.0,1.7,3630.0,113125.0,2031.0,9.6,53.8,46.2,491700.0,1548.0,5.9,21.4
13121004300,14.9,77.4,5.1,1.9,358.0,606.0,10.5,2846.0,36750.0,651.0,6.9,32.7,67.3,267900.0,885.0,7.0,53.8
13121005800,20.3,71.5,3.9,2.7,389.0,576.0,31.0,1479.0,42679.0,773.0,25.5,53.3,46.7,176300.0,842.0,3.9,50.8
13121008301,5.7,93.3,0.0,3.5,755.0,883.0,29.2,2327.0,25060.0,1577.0,44.0,41.7,58.3,85800.0,797.0,17.8,62.5
13121007300,4.0,90.7,0.0,2.5,1892.0,2891.0,30.1,6824.0,32044.0,3343.0,13.5,28.0,72.0,79400.0,879.0,5.7,47.1
13121007806,2.5,96.9,0.2,0.2,1090.0,2412.0,22.6,7234.0,41529.0,2581.0,6.5,51.1,48.9,89300.0,960.0,3.3,50.3
13121008000,4.3,93.8,0.0,0.7,1251.0,1941.0,36.8,5529.0,43854.0,2501.0,22.4,60.7,39.3,113900.0,1131.0,3.5,59.8
13121008400,10.8,86.6,0.6,1.5,1008.0,1187.0,38.2,2649.0,24183.0,2028.0,41.5,29.8,70.2,93800.0,673.0,15.6,40.4
13121008602,7.3,89.5,0.0,0.8,280.0,602.0,30.2,1562.0,37708.0,653.0,7.8,25.1,74.9,149300.0,1028.0,29.7,52.5
13121009000,82.4,8.1,8.7,3.3,171.0,2249.0,2.3,5341.0,111146.0,2337.0,3.8,47.8,52.2,727200.0,1455.0,5.6,30.7
13121009300,93.6,3.9,1.5,11.2,839.0,2517.0,1.9,5298.0,106128.0,2662.0,5.4,59.7,40.3,523800.0,1191.0,6.0,41.4
13121009402,49.8,20.0,24.3,8.9,956.0,2884.0,1.7,5537.0,75088.0,3175.0,9.2,13.1,86.9,345700.0,1576.0,8.6,34.8
13121002400,5.4,93.6,0.0,0.7,990.0,986.0,32.4,2902.0,28056.0,1507.0,34.6,40.6,59.4,112100.0,992.0,9.7,58.3
13121008601,0.8,98.3,0.0,1.1,2028.0,1712.0,40.2,4953.0,22696.0,2324.0,26.3,24.1,75.9,72900.0,691.0,13.8,54.4
13121002500,6.4,88.6,1.3,2.2,1280.0,1050.0,36.7,2814.0,30283.0,1364.0,23.0,17.0,83.0,133700.0,925.0,2.7,59.0
13121002600,1.1,94.7,1.3,1.6,565.0,584.0,41.4,1672.0,33611.0,619.0,5.7,11.3,88.7,179800.0,998.0,8.7,56.3
13121004400,5.1,89.3,0.0,2.1,1787.0,1304.0,56.9,3368.0,23587.0,1435.0,9.1,3.0,97.0,114200.0,847.0,6.0,60.9
13121007400,8.8,83.2,0.4,9.8,1488.0,1246.0,50.5,3412.0,19740.0,1556.0,19.9,13.8,86.2,143400.0,813.0,5.0,60.3
13121008201,0.5,98.9,0.0,0.2,1362.0,2591.0,34.8,6367.0,38080.0,2972.0,12.8,41.1,58.9,98600.0,1035.0,0.7,66.2
13121008202,3.1,96.6,0.0,1.5,926.0,768.0,28.4,2357.0,27093.0,981.0,21.7,47.9,52.1,61500.0,1072.0,10.6,67.8
13121010303,0.0,99.3,0.1,0.1,1257.0,4104.0,18.1,10840.0,71457.0,4493.0,8.7,70.3,29.7,225200.0,1163.0,9.3,44.7
13089023700,15.1,78.7,0.4,1.7,1346.0,2451.0,31.4,6054.0,47712.0,2739.0,10.5,39.1,60.9,212100.0,943.0,10.8,43.3
13121006700,5.3,92.3,0.4,1.4,1621.0,1644.0,35.6,3966.0,25651.0,2121.0,22.5,34.2,65.8,124500.0,824.0,11.7,58.0
13121006900,49.2,46.5,1.6,13.0,701.0,1384.0,17.3,3483.0,73429.0,1666.0,16.9,55.9,44.1,256900.0,956.0,2.2,27.0
13121007002,2.1,95.7,0.9,3.9,566.0,969.0,29.0,2651.0,45451.0,1307.0,25.9,44.4,55.6,102300.0,951.0,4.4,34.3
13121007100,9.4,90.0,0.0,4.6,871.0,891.0,50.0,2751.0,25489.0,1092.0,18.4,36.6,63.4,82100.0,898.0,9.3,56.5
13121008302,0.8,98.7,0.0,0.4,643.0,784.0,34.6,1917.0,28318.0,1176.0,33.3,45.4,54.6,86100.0,980.0,3.1,73.0
13121009200,65.8,24.4,6.0,18.7,1027.0,3820.0,5.4,7359.0,71482.0,4410.0,13.4,26.5,73.5,344600.0,1330.0,11.1,26.6
13121001500,82.9,11.3,3.2,6.2,536.0,2405.0,8.8,4617.0,66490.0,2772.0,13.2,36.5,63.5,606200.0,1119.0,4.7,35.5
13121002300,5.5,91.9,0.0,0.6,437.0,525.0,40.5,1268.0,26683.0,1180.0,55.5,22.5,77.5,78600.0,733.0,7.3,54.6
13121011800,17.1,74.2,4.2,5.9,426.0,923.0,15.9,1867.0,30972.0,1451.0,36.4,14.7,85.3,-666666666.0,1045.0,18.4,42.1
13121011900,35.4,59.9,2.3,5.5,1041.0,1835.0,19.1,3517.0,25699.0,2169.0,15.4,19.2,80.8,173900.0,975.0,6.8,40.7
13121012000,11.8,83.4,0.0,4.5,1394.0,1383.0,38.8,3311.0,27188.0,1645.0,15.9,21.2,78.8,135900.0,752.0,13.7,48.1
13121006802,1.9,95.0,0.0,1.4,1803.0,533.0,71.1,2235.0,14375.0,608.0,12.3,18.2,81.8,-666666666.0,547.0,1.6,62.3
13121006200,2.4,96.5,0.0,0.0,423.0,522.0,35.5,1725.0,37500.0,752.0,30.6,37.9,62.1,162100.0,867.0,10.5,52.4
13121006500,20.5,75.0,1.9,0.2,928.0,1449.0,29.9,3843.0,50163.0,1828.0,20.7,53.6,46.4,150400.0,1221.0,6.1,68.2
13089020802,41.0,48.9,2.5,4.1,816.0,1736.0,21.5,4411.0,73981.0,2053.0,15.4,64.7,35.3,359100.0,857.0,7.6,30.5
13089020300,89.2,3.8,0.8,3.3,366.0,1675.0,1.7,4476.0,147614.0,1725.0,2.9,75.5,24.5,574400.0,1302.0,8.9,13.0
13089020600,41.4,48.7,1.7,6.3,630.0,963.0,24.0,2050.0,63313.0,1170.0,17.7,47.1,52.9,276100.0,1179.0,5.6,59.6
13121001002,45.8,25.9,22.3,7.2,414.0,516.0,0.6,7305.0,31042.0,586.0,11.9,2.3,97.7,-666666666.0,1307.0,8.1,65.9
13121001202,71.7,14.4,7.3,7.5,365.0,3412.0,0.4,5206.0,93143.0,4068.0,16.1,47.5,52.5,281200.0,1381.0,5.7,36.4
13121001001,56.9,13.3,22.8,5.8,328.0,1020.0,1.1,2904.0,103846.0,1371.0,25.6,43.4,56.6,360900.0,1851.0,6.7,31.1
13121001201,74.7,13.6,6.8,3.4,396.0,2888.0,6.0,4527.0,80476.0,2922.0,1.2,24.8,75.2,307200.0,1471.0,9.1,33.7
13121007603,1.1,96.6,1.1,1.4,2258.0,2214.0,51.8,4565.0,13456.0,2679.0,17.4,6.3,93.7,-666666666.0,729.0,7.5,64.7
13121007604,6.2,87.0,1.4,8.8,1202.0,1034.0,32.9,2575.0,21863.0,1541.0,32.9,14.2,85.8,85000.0,812.0,6.4,65.3
13121007703,1.6,95.8,0.0,0.0,877.0,1601.0,19.4,4463.0,44452.0,1855.0,13.7,59.0,41.0,110400.0,1013.0,14.8,54.3
13121008903,39.8,33.8,3.9,37.9,210.0,876.0,11.4,2250.0,75978.0,912.0,3.9,41.6,58.4,207600.0,1344.0,13.5,24.6
13121007704,2.2,96.8,0.0,0.2,1766.0,2058.0,31.0,5878.0,35814.0,2498.0,17.6,42.6,57.4,150100.0,930.0,22.5,50.8
13121007705,2.2,96.6,0.0,0.2,1242.0,1772.0,29.7,4043.0,25906.0,2244.0,21.0,22.6,77.4,107600.0,929.0,12.9,55.1
13121007706,2.1,95.2,0.4,0.4,2291.0,4343.0,26.8,9597.0,45101.0,4880.0,11.0,29.1,70.9,190100.0,1079.0,11.4,40.4
13121008904,80.8,10.4,4.4,3.0,202.0,2577.0,4.7,5155.0,85517.0,2916.0,11.6,63.6,36.4,248300.0,1334.0,13.3,32.3
13121009101,68.8,16.7,7.4,4.0,731.0,3463.0,6.0,5630.0,79489.0,4041.0,14.3,42.8,57.2,312700.0,1520.0,6.2,20.5
13121009102,65.0,18.2,8.3,6.1,294.0,1904.0,2.4,3344.0,59444.0,2376.0,19.9,39.5,60.5,348700.0,1144.0,11.1,32.8
13121008700,13.9,86.0,0.0,3.3,1419.0,2562.0,28.3,5781.0,33732.0,2785.0,8.0,24.9,75.1,171500.0,855.0,15.3,36.7
13121009501,96.7,1.4,1.2,1.0,130.0,1733.0,2.2,3706.0,185521.0,2123.0,18.4,82.1,17.9,1077400.0,1652.0,11.6,17.5
13121009403,46.7,28.5,10.0,12.1,931.0,3032.0,9.1,5268.0,63269.0,3318.0,8.6,25.2,74.8,221200.0,1298.0,14.5,33.2
13121009404,66.4,16.0,14.1,3.4,421.0,2383.0,5.5,4484.0,81004.0,2685.0,11.2,60.4,39.6,371300.0,1476.0,17.7,24.1
13121009502,67.9,20.6,7.8,3.8,417.0,2254.0,5.5,3867.0,86053.0,2985.0,24.5,44.7,55.3,198400.0,1398.0,1.4,28.1
13121009601,83.5,6.9,5.2,5.9,135.0,1407.0,2.7,2631.0,107386.0,1660.0,15.2,33.0,67.0,385400.0,1713.0,10.0,20.9
13121009602,75.7,14.8,5.0,3.2,424.0,3112.0,2.7,5514.0,102778.0,3604.0,13.7,48.4,51.6,529600.0,1755.0,7.7,40.3
13121009603,73.7,15.5,4.7,6.5,497.0,3071.0,3.4,4830.0,83243.0,3735.0,17.8,41.6,58.4,438400.0,1448.0,4.8,28.0
13121009801,89.2,8.1,2.7,4.7,135.0,2106.0,2.5,4746.0,125375.0,2456.0,14.3,65.6,34.4,911300.0,1301.0,18.0,31.0
13121009802,80.2,5.8,12.3,1.2,150.0,1835.0,1.5,4553.0,165583.0,2133.0,14.0,60.4,39.6,1472700.0,1802.0,2.6,34.1
13121010001,74.6,12.9,10.2,2.0,338.0,2487.0,4.1,4923.0,108197.0,3166.0,21.4,68.7,31.3,407700.0,1511.0,1.9,64.2
13121010002,85.1,5.9,7.8,3.0,362.0,4013.0,2.3,8716.0,146182.0,4719.0,15.0,57.9,42.1,813100.0,1803.0,5.3,28.1
13121010114,74.9,15.5,1.2,18.6,353.0,3137.0,6.5,6849.0,72450.0,3321.0,5.5,45.7,54.3,556900.0,1344.0,5.8,48.2
13121006601,19.0,77.2,1.3,1.0,473.0,699.0,27.9,1755.0,44250.0,999.0,30.0,59.4,40.6,152900.0,1037.0,14.1,53.0
13121007001,2.6,92.5,0.0,7.5,1775.0,1439.0,52.0,4539.0,29528.0,1893.0,24.0,38.6,61.4,93800.0,894.0,13.7,59.2
13121001100,78.2,5.8,9.4,5.1,326.0,3432.0,4.6,5193.0,109426.0,4607.0,25.5,45.7,54.3,320900.0,1922.0,4.1,18.0
13121001400,86.5,3.5,3.8,2.7,85.0,1408.0,0.7,2345.0,84167.0,1525.0,7.7,40.1,59.9,468300.0,1485.0,5.3,31.6
13121001800,51.4,37.5,7.5,5.3,962.0,3077.0,20.7,4281.0,49486.0,3301.0,6.8,35.3,64.7,171600.0,1021.0,12.4,28.9
13121003200,83.1,7.5,1.5,10.1,37.0,1277.0,2.6,2389.0,111830.0,1509.0,15.4,67.8,32.2,317000.0,1467.0,11.4,22.9
13121003600,10.8,77.6,1.4,1.3,400.0,858.0,7.3,1254.0,53152.0,977.0,12.2,33.2,66.8,191400.0,1072.0,11.0,20.1
13121006801,25.1,61.7,0.0,15.0,0.0,0.0,-666666666.0,2287.0,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
13121008800,65.2,23.6,2.6,8.7,406.0,1961.0,8.7,5430.0,103385.0,2483.0,21.0,65.3,34.7,370600.0,1303.0,18.8,36.2
13121000700,29.5,61.9,1.1,7.8,128.0,347.0,12.5,3339.0,84107.0,417.0,16.8,70.0,30.0,295600.0,1293.0,0.0,39.4
13121001300,67.0,23.0,5.6,6.0,745.0,2199.0,12.9,4421.0,76188.0,2487.0,11.6,38.0,62.0,441500.0,1267.0,5.9,30.4
13121003800,17.7,69.7,7.9,3.9,180.0,230.0,5.7,4283.0,20625.0,371.0,38.0,5.2,94.8,78600.0,836.0,3.5,57.6
13121004000,6.2,91.2,0.7,3.5,844.0,1010.0,36.4,2705.0,32417.0,1333.0,24.2,40.1,59.9,119900.0,1037.0,9.1,57.7
13121004200,8.7,91.3,0.0,2.6,1055.0,1456.0,33.8,2477.0,18913.0,1643.0,11.4,22.8,77.2,141300.0,364.0,15.4,34.7
13121004900,54.0,39.0,2.2,4.7,699.0,1108.0,22.1,2835.0,84655.0,1347.0,17.7,65.9,34.1,331000.0,1167.0,4.0,34.1
13121002800,32.7,56.4,5.7,5.2,759.0,1453.0,8.9,5231.0,33165.0,1767.0,17.8,11.0,89.0,153000.0,1385.0,10.9,44.0
13121004800,17.5,73.8,5.8,4.9,498.0,563.0,35.8,988.0,19612.0,619.0,9.0,0.9,99.1,-666666666.0,904.0,6.8,43.1
13121005300,66.3,27.7,1.1,5.7,419.0,1675.0,7.0,3861.0,102303.0,1843.0,9.1,71.5,28.5,380000.0,1361.0,0.0,44.5
13121008101,0.0,99.8,0.0,0.0,178.0,502.0,33.7,1664.0,44878.0,515.0,2.5,65.7,34.3,104700.0,1358.0,0.0,45.8
13121000500,66.3,20.1,7.3,5.5,549.0,2843.0,7.1,5219.0,90140.0,3597.0,21.0,52.4,47.6,364700.0,1445.0,8.1,33.9
13121001600,84.8,5.7,7.2,3.8,110.0,1294.0,5.2,2237.0,78182.0,1550.0,16.5,31.8,68.2,568500.0,1557.0,13.3,17.8
13121003100,69.8,27.8,0.1,5.0,215.0,931.0,7.0,2051.0,62250.0,1057.0,11.9,40.9,59.1,413800.0,1070.0,3.1,45.3
13121005501,22.6,71.6,2.1,6.9,940.0,978.0,26.1,2547.0,37647.0,1223.0,20.0,36.3,63.7,254600.0,1011.0,8.7,48.2
13121005700,3.8,92.5,0.4,1.1,387.0,657.0,27.8,1493.0,25170.0,923.0,28.8,15.4,84.6,152500.0,925.0,2.3,56.0
13121006000,8.1,89.0,1.2,2.1,586.0,1509.0,30.0,3722.0,38708.0,1864.0,19.0,39.6,60.4,215800.0,852.0,9.9,41.7
13121006602,0.2,98.6,0.0,0.1,506.0,465.0,38.5,1248.0,25375.0,617.0,24.6,30.1,69.9,108100.0,851.0,15.8,40.8
13089020500,49.5,39.5,3.0,6.6,499.0,1513.0,8.8,3161.0,65694.0,1838.0,17.7,54.0,46.0,345200.0,1133.0,10.5,36.3
13089020900,52.3,41.6,4.0,2.5,407.0,2742.0,8.9,5927.0,71618.0,2969.0,7.6,67.4,32.6,306300.0,1158.0,3.9,32.9
13089020700,65.5,31.3,1.3,2.1,246.0,1058.0,11.0,2634.0,95417.0,1231.0,14.1,67.8,32.2,352400.0,965.0,30.3,28.8
13089020100,91.8,2.0,2.3,7.9,119.0,737.0,3.3,1997.0,170096.0,803.0,8.2,74.6,25.4,697700.0,2335.0,4.4,27.9
