housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35,TractFIPS
3452.0,11.4,28.1,71.9,424200.0,1432.0,8.1,29.4,13121010122
2429.0,5.4,53.5,46.5,188200.0,1413.0,5.6,26.8,13121010123
1224.0,8.6,77.2,22.8,856800.0,1645.0,5.5,27.1,13121010211
3534.0,9.4,56.6,43.4,478000.0,1698.0,7.4,45.6,13089021102
5054.0,18.6,20.5,79.5,511300.0,1524.0,10.9,26.6,13089021216
1559.0,5.8,89.3,10.7,636800.0,1618.0,0.0,36.0,13089021101
2915.0,9.5,30.1,69.9,481500.0,1602.0,7.2,26.5,13089021215
1026.0,7.4,71.6,28.4,372300.0,1289.0,11.0,28.9,13089021217
3789.0,8.9,37.4,62.6,187900.0,1436.0,6.5,40.0,13089021218
1693.0,11.9,37.9,62.1,318200.0,1138.0,9.3,49.5,13089021305
1191.0,13.9,48.1,51.9,89800.0,936.0,2.7,61.5,13121007602
2918.0,9.4,22.6,77.4,590100.0,1687.0,10.9,22.5,13121001700
4130.0,9.0,56.6,43.4,186600.0,983.0,12.7,40.6,13121007802
1491.0,11.7,27.0,73.0,108700.0,850.0,4.7,48.8,13121007805
1652.0,13.9,89.7,10.3,859900.0,2083.0,39.6,9.9,13121009700
2586.0,12.2,95.1,4.9,777700.0,3501.0,0.0,11.7,13121010206
4384.0,8.3,33.0,67.0,151000.0,1158.0,3.3,46.8,13121011303
2219.0,11.7,45.6,54.4,471100.0,1263.0,3.2,44.9,13121010212
2200.0,6.5,67.3,32.7,129600.0,1242.0,16.6,28.3,13121010515
3198.0,17.9,66.8,33.2,122900.0,1205.0,14.0,41.5,13121010516
2793.0,17.3,17.2,82.8,136100.0,986.0,12.5,50.3,13121011305
1377.0,27.5,32.8,67.2,155100.0,965.0,5.3,61.5,13121011306
2063.0,2.2,90.9,9.1,364600.0,1612.0,27.3,18.6,13121011416
2283.0,0.0,73.2,26.8,344300.0,2143.0,15.7,52.6,13121011417
2369.0,11.1,92.4,7.6,408400.0,2267.0,15.5,35.1,13121011418
1135.0,13.4,58.1,41.9,535300.0,1265.0,0.0,19.3,13089020200
1814.0,6.6,40.2,59.8,147400.0,1102.0,8.1,41.0,13089021303
2311.0,1.3,73.2,26.8,534800.0,1714.0,4.3,35.4,13089021405
1342.0,7.2,67.6,32.4,484300.0,1134.0,5.0,26.7,13089020400
1175.0,11.0,79.4,20.6,400700.0,1500.0,3.6,30.2,13089020801
2093.0,5.1,97.6,2.4,448900.0,-666666666.0,0.0,0.0,13089021210
2081.0,1.8,95.5,4.5,373400.0,1857.0,29.3,40.2,13089021211
2771.0,16.1,66.9,33.1,376600.0,1252.0,7.3,51.7,13089021706
1028.0,5.4,68.7,31.3,422700.0,1281.0,11.5,38.4,13089023000
928.0,7.5,73.1,26.9,233200.0,1172.0,6.9,45.9,13089021812
3895.0,8.4,65.3,34.7,165100.0,1185.0,5.6,61.7,13089021907
3255.0,5.5,58.8,41.2,260300.0,1057.0,9.5,30.8,13089022301
2018.0,14.7,59.9,40.1,163700.0,1025.0,9.9,47.5,13089023101
2009.0,8.3,37.2,62.8,102700.0,968.0,6.3,56.8,13089023108
2912.0,7.0,61.7,38.3,304100.0,1430.0,7.8,32.6,13089021810
2503.0,9.3,18.5,81.5,124500.0,904.0,14.4,49.7,13089022008
1908.0,12.1,80.5,19.5,280300.0,944.0,8.2,27.7,13089022900
1706.0,9.8,44.4,55.6,267100.0,818.0,25.1,38.0,13089023102
2051.0,17.1,24.8,75.2,128300.0,890.0,9.8,47.3,13089023410
2287.0,7.8,69.6,30.4,309800.0,1515.0,6.1,35.6,13121005200
469.0,18.1,31.0,69.0,326500.0,771.0,15.6,50.2,13121006400
1025.0,32.7,38.4,61.6,97900.0,951.0,4.2,63.0,13121007200
1430.0,18.9,82.2,17.8,127800.0,1273.0,10.5,56.4,13121010508
2082.0,6.8,31.9,68.1,181800.0,1151.0,9.5,45.9,13089021306
1297.0,4.0,57.3,42.7,187300.0,1307.0,5.0,41.8,13089021307
1639.0,7.1,46.9,53.1,204700.0,1140.0,10.7,44.4,13089021308
1445.0,7.3,8.2,91.8,210500.0,1220.0,5.0,45.8,13089021409
2226.0,7.4,38.1,61.9,227100.0,1326.0,14.0,41.4,13089021410
1977.0,9.6,38.3,61.7,668400.0,1594.0,5.5,35.5,13089021411
1533.0,8.3,80.0,20.0,453800.0,1569.0,13.9,15.7,13089021412
1394.0,10.6,17.7,82.3,412700.0,1093.0,12.3,43.3,13089021413
1988.0,17.2,12.6,87.4,361600.0,1305.0,9.6,43.9,13089021414
1856.0,8.2,51.2,48.8,560200.0,1557.0,5.0,24.8,13089021415
985.0,13.2,57.5,42.5,386700.0,1198.0,21.4,41.7,13089021416
1222.0,16.6,65.1,34.9,489300.0,1773.0,19.7,14.7,13121000400
2140.0,2.6,75.4,24.6,736400.0,1825.0,0.0,11.9,13121000100
3471.0,13.7,19.7,80.3,205000.0,1621.0,4.8,50.0,13121000600
821.0,13.0,34.5,65.5,190300.0,1381.0,8.2,42.3,13121003500
1190.0,37.7,55.6,44.4,256100.0,1177.0,11.9,50.3,13121004100
1599.0,11.6,41.7,58.3,363600.0,1463.0,8.1,29.0,13121005000
1457.0,15.2,21.1,78.9,150000.0,765.0,9.6,54.1,13121005502
1695.0,20.6,47.9,52.1,77700.0,1025.0,8.6,52.0,13121006100
1154.0,39.1,29.0,71.0,140000.0,837.0,4.9,52.8,13121006300
2027.0,23.6,33.6,66.4,75200.0,833.0,13.9,58.3,13121007500
1477.0,29.0,35.6,64.4,69800.0,884.0,8.2,53.7,13121007807
1970.0,27.4,11.0,89.0,80600.0,666.0,6.1,66.8,13121007808
3390.0,16.2,23.5,76.5,122900.0,786.0,8.5,48.8,13121008102
2439.0,4.8,43.2,56.8,117200.0,932.0,3.8,60.2,13089021814
2389.0,10.0,11.8,88.2,278100.0,1341.0,12.1,40.8,13089021417
2807.0,7.8,39.2,60.8,425400.0,1372.0,3.6,32.0,13089021605
1259.0,6.3,0.5,99.5,-666666666.0,1068.0,13.3,34.2,13089021813
1075.0,27.7,12.7,87.3,70300.0,950.0,2.1,59.9,13089021911
1758.0,13.8,42.9,57.1,362000.0,1177.0,6.5,57.5,13089021503
2833.0,11.3,33.3,66.7,388100.0,1662.0,7.6,42.2,13089021504
3380.0,17.8,35.4,64.6,97900.0,1041.0,16.4,23.2,13121010800
3150.0,8.1,51.8,48.2,337000.0,1243.0,14.7,25.2,13121011405
3888.0,5.2,62.7,37.3,323800.0,1268.0,3.0,39.2,13121011412
1227.0,21.0,35.7,64.3,66100.0,836.0,0.0,65.2,13121011000
1406.0,18.3,58.1,41.9,178800.0,1043.0,15.4,29.2,13121011100
1156.0,23.4,42.7,57.3,245500.0,1091.0,5.8,35.4,13121002100
2548.0,7.2,71.2,28.8,172400.0,1352.0,2.3,51.1,13121007900
2023.0,27.9,34.9,65.1,70200.0,949.0,7.1,51.1,13121011201
1023.0,26.1,31.9,68.1,89300.0,964.0,16.8,46.0,13121003900
2858.0,2.0,60.7,39.3,363000.0,1202.0,8.9,17.9,13121010210
2036.0,1.1,89.5,10.5,158200.0,1323.0,0.0,33.8,13089023315
3203.0,8.5,73.9,26.1,163100.0,1214.0,7.2,27.2,13089023316
3610.0,2.4,77.1,22.9,163600.0,1265.0,1.5,27.9,13089023419
3845.0,11.4,45.5,54.5,106500.0,981.0,13.9,43.6,13089023421
2065.0,5.2,48.5,51.5,539600.0,1289.0,4.0,23.8,13121010106
1581.0,38.0,38.6,61.4,57800.0,1029.0,2.8,65.6,13121008500
5011.0,12.4,32.7,67.3,282400.0,1353.0,16.3,24.6,13121008902
2327.0,8.5,70.8,29.2,875000.0,1385.0,10.5,18.0,13121009900
2756.0,3.8,77.4,22.6,444600.0,1425.0,4.6,16.9,13121010205
2587.0,21.0,26.3,73.7,600500.0,1122.0,5.6,37.3,13121010208
6908.0,6.0,68.0,32.0,188700.0,1506.0,18.3,21.6,13121010301
3344.0,27.8,50.0,50.0,108000.0,961.0,9.0,46.9,13121010507
2806.0,3.9,72.0,28.0,661600.0,1685.0,1.1,11.2,13121000200
1931.0,27.5,38.6,61.4,301800.0,1280.0,4.1,32.9,13121001900
1569.0,20.5,33.8,66.2,346200.0,1459.0,13.0,37.5,13121002900
2031.0,9.6,53.8,46.2,491700.0,1548.0,5.9,21.4,13121003000
651.0,6.9,32.7,67.3,267900.0,885.0,7.0,53.8,13121004300
773.0,25.5,53.3,46.7,176300.0,842.0,3.9,50.8,13121005800
3685.0,26.9,73.9,26.1,159500.0,1478.0,0.0,38.8,13089023423
2399.0,17.6,74.0,26.0,142100.0,1124.0,0.0,44.1,13089023425
1742.0,7.3,83.4,16.6,193100.0,1594.0,0.0,62.4,13089023426
1039.0,6.7,79.4,20.6,134000.0,1221.0,0.0,66.5,13089023427
4327.0,12.0,29.5,70.5,86100.0,1038.0,6.3,50.6,13089023428
0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13089980000
2076.0,9.2,67.5,32.5,119400.0,1335.0,2.9,36.2,13089023422
1890.0,7.1,77.9,22.1,141500.0,1335.0,3.0,55.1,13089023424
1577.0,44.0,41.7,58.3,85800.0,797.0,17.8,62.5,13121008301
3343.0,13.5,28.0,72.0,79400.0,879.0,5.7,47.1,13121007300
2581.0,6.5,51.1,48.9,89300.0,960.0,3.3,50.3,13121007806
2501.0,22.4,60.7,39.3,113900.0,1131.0,3.5,59.8,13121008000
2028.0,41.5,29.8,70.2,93800.0,673.0,15.6,40.4,13121008400
653.0,7.8,25.1,74.9,149300.0,1028.0,29.7,52.5,13121008602
2337.0,3.8,47.8,52.2,727200.0,1455.0,5.6,30.7,13121009000
2662.0,5.4,59.7,40.3,523800.0,1191.0,6.0,41.4,13121009300
3175.0,9.2,13.1,86.9,345700.0,1576.0,8.6,34.8,13121009402
762.0,2.6,97.2,2.8,703900.0,-666666666.0,0.0,100.0,13121010107
5667.0,8.8,86.8,13.2,226700.0,1251.0,12.3,23.3,13121010304
1844.0,17.7,17.7,82.3,155600.0,886.0,12.1,50.1,13121010603
164.0,0.0,0.0,100.0,-666666666.0,364.0,11.6,11.6,13121003700
1507.0,34.6,40.6,59.4,112100.0,992.0,9.7,58.3,13121002400
2190.0,0.4,99.0,1.0,495600.0,-666666666.0,0.0,0.0,13089021214
3770.0,7.4,43.5,56.5,383700.0,1382.0,8.4,34.9,13089021209
7399.0,9.1,50.5,49.5,144500.0,1147.0,13.3,52.2,13089023418
2949.0,10.1,53.2,46.8,136400.0,1004.0,13.0,52.1,13089023303
2600.0,7.0,40.5,59.5,412800.0,1309.0,12.0,23.9,13089021502
2859.0,6.9,61.9,38.1,533700.0,595.0,13.7,24.1,13089022500
2324.0,26.3,24.1,75.9,72900.0,691.0,13.8,54.4,13121008601
1364.0,23.0,17.0,83.0,133700.0,925.0,2.7,59.0,13121002500
619.0,5.7,11.3,88.7,179800.0,998.0,8.7,56.3,13121002600
1435.0,9.1,3.0,97.0,114200.0,847.0,6.0,60.9,13121004400
1556.0,19.9,13.8,86.2,143400.0,813.0,5.0,60.3,13121007400
2972.0,12.8,41.1,58.9,98600.0,1035.0,0.7,66.2,13121008201
981.0,21.7,47.9,52.1,61500.0,1072.0,10.6,67.8,13121008202
1749.0,7.4,75.1,24.9,593000.0,1335.0,3.0,51.6,13121010108
4392.0,11.0,41.6,58.4,389600.0,1581.0,14.3,39.0,13121010110
4493.0,8.7,70.3,29.7,225200.0,1163.0,9.3,44.7,13121010303
2789.0,10.0,40.1,59.9,297900.0,1455.0,11.4,39.2,13089021603
2665.0,5.6,53.6,46.4,222900.0,1119.0,5.9,39.1,13089021806
2052.0,0.0,55.6,44.4,312100.0,1311.0,17.6,21.5,13089022302
1256.0,12.2,4.4,95.6,442900.0,1494.0,6.9,61.1,13089022402
1353.0,3.3,79.8,20.2,587600.0,1073.0,2.7,33.2,13089022800
1959.0,5.6,78.7,21.3,127200.0,1397.0,10.7,43.4,13089023209
1412.0,2.3,52.2,47.8,153200.0,1030.0,18.2,43.9,13089023211
4082.0,7.7,45.2,54.8,93900.0,1172.0,5.1,54.0,13089023309
4413.0,7.1,21.6,78.4,131300.0,1068.0,11.5,47.5,13089023310
2554.0,5.7,75.5,24.5,164900.0,868.0,3.4,36.6,13089023414
1237.0,5.3,68.8,31.2,229700.0,1212.0,2.2,34.5,13089023601
2889.0,7.0,88.9,11.1,275500.0,1493.0,20.6,57.4,13089021809
2067.0,9.3,58.8,41.2,117200.0,1066.0,7.7,45.4,13089021906
1845.0,5.1,32.0,68.0,143000.0,908.0,15.8,40.5,13089022005
3378.0,12.1,54.2,45.8,441300.0,1014.0,17.8,31.1,13089022600
2050.0,19.0,60.2,39.8,134500.0,1085.0,17.7,43.3,13089023107
1555.0,17.0,35.5,64.5,94200.0,903.0,5.4,51.1,13089023501
1607.0,9.4,48.1,51.9,113300.0,927.0,8.8,47.4,13089023603
2739.0,10.5,39.1,60.9,212100.0,943.0,10.8,43.3,13089023700
2025.0,13.6,75.9,24.1,235600.0,1259.0,4.0,26.7,13089023801
2910.0,7.4,34.1,65.9,112400.0,1139.0,11.5,61.4,13089023210
2121.0,22.5,34.2,65.8,124500.0,824.0,11.7,58.0,13121006700
1666.0,16.9,55.9,44.1,256900.0,956.0,2.2,27.0,13121006900
1307.0,25.9,44.4,55.6,102300.0,951.0,4.4,34.3,13121007002
1092.0,18.4,36.6,63.4,82100.0,898.0,9.3,56.5,13121007100
1176.0,33.3,45.4,54.6,86100.0,980.0,3.1,73.0,13121008302
4410.0,13.4,26.5,73.5,344600.0,1330.0,11.1,26.6,13121009200
2029.0,7.7,96.8,3.2,615400.0,-666666666.0,0.0,60.8,13121010204
3076.0,7.6,25.8,74.2,120000.0,1179.0,12.3,26.8,13121010209
